"player_id","season_name","general_position","team_id","minutes_played","goals_added_above_avg_Dribbling","goals_added_above_avg_Fouling","goals_added_above_avg_Interrupting","goals_added_above_avg_Passing","goals_added_above_avg_Receiving","goals_added_above_avg_Shooting","count_actions_Dribbling","count_actions_Fouling","count_actions_Interrupting","count_actions_Passing","count_actions_Receiving","count_actions_Shooting","offensive_goals_added"
"2lqRkmAWQr","2022","ST","KAqBN0Vqbg",44,0.009,0.0109,0.0029,-0.0279,-9.99999999999994e-05,5e-04,2,3,1,2,6,3,-0.0076
"2lqRknk2Qr","2020","CB","jYQJ19EqGR",2164,-0.1546,0.0568,-0.1833,-0.0638,0.3889,0.271,311,41,369,1217,915,18,0.4983
"2lqRknk2Qr","2021","CB","jYQJ19EqGR",3065,-0.1706,0.2178,1.5559,-0.4723,0.3236,-0.0118,300,54,646,1552,1109,20,-0.1133
"2lqRknk2Qr","2022","CB","jYQJ19EqGR",2532,-0.0018,-0.2129,0.5857,0.000799999999999999,0.0368,0.0431,267,34,502,1361,1005,17,-0.134
"2lqRkoADQr","2016","CM","Vj58weDM8n",37,0.1465,-6e-04,-0.0207,0.0154,0.0055,-0.0097,11,1,2,11,12,1,0.1571
"2lqRkoADQr","2016","ST","Vj58weDM8n",85,0.1235,-0.0066,0.0244,0.2618,-0.1367,0.0163,16,3,4,26,21,2,0.2583
"2lqRkoADQr","2016","W","Vj58weDM8n",1747,0.3431,0.0736,0.0758,0.3842,-0.512,-0.4172,430,32,97,581,606,20,-0.1283
"2lqRkoADQr","2017","AM","Vj58weDM8n",197,-0.0672,-0.0232,-0.0378,-0.0995,-0.032,-0.0177,43,2,10,74,84,4,-0.2396
"2lqRkoADQr","2017","ST","Vj58weDM8n",189,-0.026,-0.0638,-0.0204,0.2528,-0.2324,-0.093,35,3,9,68,71,4,-0.1624
"2lqRkoADQr","2017","W","Vj58weDM8n",2726,-0.5057,-0.1082,-0.0921,0.362,0.5338,0.2241,612,51,203,911,923,62,0.506
"2lqRkoxWQr","2016","FB","0KPqjA456v",349,-0.0262,0.0202,-0.5812,0.0143,-0.2366,-0.0404,52,5,46,178,122,0,-0.2687
"2lqRkoxWQr","2018","FB","pzeQZ6xQKw",218,-0.0352,-0.0136,0.1064,-0.0753,-0.0037,-0.0252,26,1,16,113,76,0,-0.153
