player_name,Team,Season,Position,Minutes,Dribbling,Fouling,Interrupting,Passing,Receiving,Shooting,Goals Added,goals_added_per_90
Tyler Boyd,LAG,2023,W,2515,-0.32,0.03,-0.47,-0.03,-0.23,0.36,-0.66,-0.02361829026
Kyle Smith,ORL,2023,FB,1651,-0.13,-0.24,0.07,0.09,-0.23,0,-0.44,-0.02398546336
Daniel Steres,HOU,2023,FB,2095,-0.41,-0.24,-0.31,0.49,0.09,-0.17,-0.56,-0.02405727924
Patrick Agyemang,CLT,2023,ST,259,-0.13,-0.01,-0.03,-0.06,0.15,0.01,-0.07,-0.02432432432
Diego Chara,POR,2023,DM,2848,-0.39,-0.09,0.8,0.15,-0.7,-0.53,-0.77,-0.02433286517
Miguel Tapias,MIN,2023,CB,3136,0.14,0.01,-0.38,-0.16,-0.38,-0.08,-0.85,-0.02439413265
Pedro Santos,DCU,2023,FB,1652,-0.39,-0.19,0.18,0.13,-0.17,-0.01,-0.45,-0.0245157385
Tayvon Gray,NYC,2023,FB,2295,0.14,-0.23,0.4,-0.31,-0.46,-0.17,-0.63,-0.02470588235
Victor Pálsson,DCU,2023,CB,1782,0.11,0.15,-0.57,-0.03,-0.15,0.02,-0.49,-0.02474747475
Kei Kamara,CHI,2023,ST,1695,0.01,-0.21,-0.07,-0.45,0.37,-0.11,-0.47,-0.02495575221
Karol Swiderski,CLT,2023,ST,2662,-0.79,-0.32,-0.15,-0.6,0.57,0.53,-0.76,-0.02569496619
Tyler Wolff,ATL,2023,W,732,-0.21,-0.09,0,-0.16,0.18,0.06,-0.21,-0.02581967213
Ian Murphy,CIN,2023,CB,1701,0.02,0.06,0.08,-0.23,-0.25,-0.16,-0.49,-0.02592592593
Kemar Lawrence,MIN,2023,FB,1220,-0.18,0.06,-0.13,0.01,-0.05,-0.07,-0.36,-0.02655737705
Sergio Santos,CIN,2023,ST,1049,-0.6,-0.06,0.15,-0.79,0.82,0.17,-0.31,-0.02659675882
Dax McCarty,NSH,2023,DM,2055,-0.08,-0.14,0.6,-0.38,-0.34,-0.27,-0.61,-0.02671532847
Cameron Dunbar,MIN,2023,W,132,-0.09,0.01,0.05,0.07,-0.08,0,-0.04,-0.02727272727
Felipe Gutiérrez,SKC,2023,CM,330,-0.06,-0.01,-0.02,0.13,-0.14,-0.01,-0.1,-0.02727272727
Remi Walter,SKC,2023,CM,3035,0.13,0.34,-0.18,-0.72,-0.27,-0.23,-0.92,-0.02728171334
Javain Brown,VAN,2023,FB,1938,0.06,-0.16,-0.58,-0.26,0.16,0.18,-0.61,-0.02832817337
Kyle Hiebert,STL,2023,FB,2379,-0.09,-0.6,0.41,-0.5,0.05,-0.01,-0.75,-0.02837326608
Joseph Mora,CLT,2023,FB,221,-0.03,0,0.08,-0.07,-0.01,-0.03,-0.07,-0.02850678733
Nathan Harriel,PHI,2023,FB,1890,0.08,0.02,0.1,-0.78,-0.09,0.06,-0.6,-0.02857142857
Joshua Bolma,NER,2023,DM,31,0.02,0,0.03,-0.06,-0.01,0,-0.01,-0.02903225806
Samuel Piette,MTL,2023,CM,1198,-0.17,-0.01,0.46,-0.08,-0.34,-0.25,-0.39,-0.02929883139
Raoul Petretta,TOR,2023,FB,1894,-0.21,-0.19,0.03,-0.19,0,-0.07,-0.63,-0.02993664203
Niko Tsakiris,SJE,2023,CM,689,0.23,0.04,0.05,-0.42,-0.11,-0.03,-0.23,-0.03004354136
Kellyn Acosta,LAFC,2023,CM,1658,-0.22,0,0.09,0.23,-0.46,-0.19,-0.56,-0.03039806996
